Wikidata,Name,Dob
wd:Q61053,Olaf Scholz,14 June 1958
wd:Q2571,Walter Scheel,8 July 1919
wd:Q2530,Gerhard Schröder,7 April 1944
wd:Q2518,Helmut Josef Michael Kohl,3 April 1930
wd:Q2516,Helmut Schmidt,23 December 1918
wd:Q2514,Willy Brandt,18 December 1913
wd:Q2512,Kurt Georg Kiesinger,6 April 1904
wd:Q2496,Ludwig Erhard,4 February 1897
wd:Q2492,Konrad Adenauer,5 January 1876
wd:Q567,Angela Merkel,17 July 1954
